detail_id,Product ID,terms,section,season,material
BAAWO189,115581,sweaters,WOMAN,Autumn,Wool
V-WWO190,183634,sweaters,MAN,Winter,Wool
FOWWO191,122484,sweaters,WOMAN,Winter,Wool Blend
BAAWO192,183574,sweaters,MAN,Autumn,Wool Blend
COAWO193,185307,sweaters,WOMAN,Autumn,Wool
FIWWO194,118719,sweaters,WOMAN,Winter,Wool
KNWWO195,134788,sweaters,MAN,Winter,Wool Blend
KNWAC196,140142,sweaters,WOMAN,Winter,Acrylic
STAPO197,153997,jackets,WOMAN,Autumn,Polyester
FLACO198,123230,jackets,WOMAN,Autumn,Cotton
PLSCO199,154676,jackets,MAN,Spring,Cotton
BAACO200,152985,jeans,WOMAN,Autumn,Cotton
BAACO201,175584,jeans,WOMAN,Autumn,Cotton
BAWCO202,147491,jeans,WOMAN,Winter,Cotton
BAWDE203,198283,jeans,WOMAN,Winter,Denim
FLACO204,141547,jeans,MAN,Autumn,Cotton
PLACO205,156342,jeans,MAN,Autumn,Cotton
DEACO206,186083,jeans,WOMAN,Autumn,Cotton
RISCO207,171776,jeans,WOMAN,Spring,Cotton
TEWWO208,134429,sweaters,MAN,Winter,Wool
PUAAC209,172816,sweaters,MAN,Autumn,Acrylic
BRAWO210,136272,sweaters,MAN,Autumn,Wool Blend
COWAC211,193227,sweaters,WOMAN,Winter,Acrylic
ABWWO212,165786,sweaters,MAN,Winter,Wool
BASLI213,174708,t-shirts,WOMAN,Summer,Linen Blend
CRSLI214,142257,t-shirts,WOMAN,Spring,Linen
BASCO215,126146,t-shirts,WOMAN,Summer,Cotton
HESLI216,129134,t-shirts,WOMAN,Summer,Linen
TESLI217,129898,t-shirts,MAN,Spring,Linen
PRSLI218,189692,t-shirts,MAN,Spring,Linen
RISCO219,154846,t-shirts,MAN,Summer,Cotton
OVSLI220,122307,t-shirts,WOMAN,Summer,Linen
BASLI221,182099,t-shirts,WOMAN,Spring,Linen Blend
STSCO222,159816,t-shirts,WOMAN,Spring,Cotton
ABSCO223,165326,t-shirts,WOMAN,Spring,Cotton
RASLI224,185154,t-shirts,MAN,Summer,Linen
RISLI225,141330,t-shirts,MAN,Summer,Linen Blend
SEAWO226,158958,t-shirts,MAN,Autumn,Wool
VISCO227,155010,t-shirts,MAN,Summer,Cotton
STSLI228,135857,t-shirts,MAN,Spring,Linen
ABSLI229,147690,t-shirts,WOMAN,Summer,Linen
STSLI230,130321,t-shirts,WOMAN,Summer,Linen
HEACO231,196752,shoes,WOMAN,Autumn,Cotton
OVWPO232,181011,t-shirts,MAN,Winter,Polyester
LEAWO233,139967,sweaters,WOMAN,Autumn,Wool Blend
CRAWO234,162699,sweaters,WOMAN,Autumn,Wool
FASLI235,119044,t-shirts,WOMAN,Spring,Linen Blend
FAAVI236,121348,t-shirts,MAN,Autumn,Viscose
FAAPO237,163982,t-shirts,MAN,Autumn,Polyester
DEWWO238,185774,t-shirts,WOMAN,Winter,Wool
BOSVI239,144651,t-shirts,MAN,Spring,Viscose
SUSCO240,195103,t-shirts,WOMAN,Spring,Cotton
JAWCO241,123047,t-shirts,WOMAN,Winter,Cotton
PAADE242,123077,t-shirts,WOMAN,Autumn,Denim
LEACO243,171860,t-shirts,MAN,Autumn,Cotton
LISPO244,149487,t-shirts,WOMAN,Spring,Polyester
SUWPO245,168516,t-shirts,WOMAN,Winter,Polyester
FASCO246,177771,t-shirts,WOMAN,Spring,Cotton
PAAWO247,172015,t-shirts,WOMAN,Autumn,Wool Blend
STSLI248,118985,jackets,WOMAN,Spring,Linen Blend
RISLI249,112194,jackets,WOMAN,Spring,Linen
FAAVI250,113435,jackets,MAN,Autumn,Viscose
COSVI251,159182,jackets,MAN,Spring,Viscose
PAACO252,199233,jackets,WOMAN,Autumn,Cotton
CRWPO253,137044,jackets,WOMAN,Winter,Polyester
FAAWO254,154736,jackets,WOMAN,Autumn,Wool Blend
REACO255,141434,jackets,WOMAN,Autumn,Cotton
QUSLI256,199632,jeans,MAN,Summer,Linen
MUWWO257,199633,jackets,WOMAN,Winter,Wool Blend
STAVI258,199634,sweaters,MAN,Autumn,Viscose
BRAWO259,199635,jackets,MAN,Autumn,Wool Blend
TESLI260,199636,jackets,WOMAN,Spring,Linen
EMWWO261,199637,jeans,WOMAN,Winter,Wool
SLSLI262,199638,t-shirts,WOMAN,Spring,Linen
FAAVI263,199639,jackets,WOMAN,Autumn,Viscose
MUAPO264,199640,shoes,WOMAN,Autumn,Polyester
SAWWO265,199641,jackets,WOMAN,Winter,Wool
OVSCO266,199642,jackets,MAN,Summer,Cotton
CRWPO267,199643,sweaters,WOMAN,Winter,Polyester
SLSLI268,199644,shoes,MAN,Spring,Linen
STAWO269,199645,shoes,MAN,Autumn,Wool Blend
STSLI270,199646,shoes,WOMAN,Spring,Linen
MUSLI271,199647,jackets,WOMAN,Spring,Linen
STSWO272,199648,jackets,MAN,Summer,Wool
LISCO273,199649,shoes,WOMAN,Spring,Cotton
STSLI274,199650,jackets,WOMAN,Spring,Linen
SLWCO275,199651,jackets,WOMAN,Winter,Cotton
STSPO276,199652,sweaters,MAN,Spring,Polyester
PLWWO277,199653,jackets,MAN,Winter,Wool Blend
PLAWO278,199654,sweaters,WOMAN,Autumn,Wool Blend
WOAAC279,199655,sweaters,MAN,Autumn,Acrylic
OVWWO280,199656,jackets,MAN,Winter,Wool
RESLI281,199657,jackets,MAN,Spring,Linen
CRWWO282,199658,t-shirts,WOMAN,Winter,Wool
KNWWO283,199659,jackets,WOMAN,Winter,Wool Blend
RESVI284,199660,t-shirts,WOMAN,Spring,Viscose
DOAWO285,199661,jackets,WOMAN,Autumn,Wool Blend
KNAPO286,199662,jeans,WOMAN,Autumn,Polyester
SLACO287,199663,sweaters,WOMAN,Autumn,Cotton
OVAPO288,199664,jackets,MAN,Autumn,Polyester
BRAPO289,199665,t-shirts,WOMAN,Autumn,Polyester
HIWWO290,199666,jackets,WOMAN,Winter,Wool Blend
SAASA291,199667,jackets,WOMAN,Autumn,Satin
BAWWO292,199668,shoes,WOMAN,Winter,Wool
TEWWO293,199669,sweaters,WOMAN,Winter,Wool
KNWWO294,199670,jackets,MAN,Winter,Wool Blend
RISCO295,199671,sweaters,MAN,Summer,Cotton
STSLI296,199672,jackets,MAN,Summer,Linen
CRSLI297,199673,jackets,MAN,Spring,Linen Blend
RISLI298,199674,t-shirts,MAN,Spring,Linen Blend
CRSWO299,199675,jeans,WOMAN,Summer,Wool Blend
OVSCO300,199676,jackets,WOMAN,Spring,Cotton
POAPO301,199677,t-shirts,WOMAN,Autumn,Polyester
TASLI302,199678,jackets,WOMAN,Spring,Linen
EMSCO303,199679,jackets,WOMAN,Summer,Cotton
BASCO304,199680,shoes,WOMAN,Summer,Cotton
RIAPO305,199681,jackets,WOMAN,Autumn,Polyester
RESWO306,199682,t-shirts,WOMAN,Spring,Wool Blend
DOWPO307,199683,t-shirts,WOMAN,Winter,Polyester
QUSPO308,199684,jackets,WOMAN,Summer,Polyester
RISCO309,199685,t-shirts,MAN,Spring,Cotton
BAAWO310,199686,sweaters,MAN,Autumn,Wool
PLADE311,199687,jackets,WOMAN,Autumn,Denim
OVAVI312,199688,t-shirts,WOMAN,Autumn,Viscose
HISWO313,199689,t-shirts,WOMAN,Summer,Wool Blend
STACO314,199690,sweaters,MAN,Autumn,Cotton
KNAWO315,199691,jackets,MAN,Autumn,Wool Blend
CRSPO316,199692,jackets,MAN,Spring,Polyester
UTSLI317,199693,t-shirts,WOMAN,Spring,Linen
CRSLI318,199694,jackets,WOMAN,Summer,Linen Blend
STAWO319,199695,jackets,MAN,Autumn,Wool
REAWO320,199696,jeans,WOMAN,Autumn,Wool Blend
LOSLI321,199697,jackets,WOMAN,Summer,Linen Blend
HIAWO322,199698,shoes,MAN,Autumn,Wool Blend
BOWWO323,199699,t-shirts,MAN,Winter,Wool
LISLI324,199700,jackets,WOMAN,Summer,Linen Blend
PLAWO325,199701,shoes,MAN,Autumn,Wool Blend
CRWWO326,199702,sweaters,MAN,Winter,Wool Blend
SAASA327,199703,sweaters,MAN,Autumn,Satin
OVAVI328,199704,jackets,MAN,Autumn,Viscose
TEWWO329,199705,t-shirts,WOMAN,Winter,Wool
STSCO330,199706,t-shirts,WOMAN,Spring,Cotton
SUAPO331,199707,t-shirts,MAN,Autumn,Polyester
HIAWO332,199708,jackets,WOMAN,Autumn,Wool Blend
REWWO333,199709,sweaters,WOMAN,Winter,Wool
STSCO334,199710,sweaters,WOMAN,Summer,Cotton
PLSCO335,199711,jackets,WOMAN,Spring,Cotton
GASWO336,199712,jackets,WOMAN,Summer,Wool
ALWWO337,199713,sweaters,MAN,Winter,Wool Blend
QUSCO338,199714,t-shirts,WOMAN,Summer,Cotton
EMWWO339,199715,jackets,WOMAN,Winter,Wool
UTSLI340,199716,t-shirts,WOMAN,Spring,Linen
CRSCO341,199717,jackets,WOMAN,Spring,Cotton
KNAWO342,199718,jackets,WOMAN,Autumn,Wool Blend
PLWWO343,199719,sweaters,WOMAN,Winter,Wool
TEWPO344,199720,jackets,WOMAN,Winter,Polyester
CRSWO345,199721,sweaters,WOMAN,Summer,Wool Blend
REWCO346,199722,sweaters,WOMAN,Winter,Cotton
KNAAC347,199723,jackets,WOMAN,Autumn,Acrylic
CRWWO348,199724,jeans,WOMAN,Winter,Wool Blend
RIACO349,199725,jackets,WOMAN,Autumn,Cotton
CRSCO350,199726,sweaters,MAN,Summer,Cotton
ZIAWO351,199727,jackets,WOMAN,Autumn,Wool
PLWAC352,199728,t-shirts,MAN,Winter,Acrylic
LISLI353,199729,t-shirts,WOMAN,Summer,Linen
SLSCO354,199730,jackets,WOMAN,Spring,Cotton
LISCO355,199731,jackets,WOMAN,Spring,Cotton
RESCO356,199732,t-shirts,WOMAN,Spring,Cotton
UTAVI357,199733,jackets,WOMAN,Autumn,Viscose
PLAWO358,199734,jackets,WOMAN,Autumn,Wool Blend
STAVI359,199735,shoes,MAN,Autumn,Viscose
STWWO360,199736,shoes,WOMAN,Winter,Wool Blend
COSLI361,199737,shoes,MAN,Spring,Linen
TESCO362,199738,jackets,WOMAN,Spring,Cotton
UTAWO363,199739,sweaters,WOMAN,Autumn,Wool Blend
TEAWO364,199740,jackets,WOMAN,Autumn,Wool
TESLI365,199741,sweaters,MAN,Spring,Linen
KNSCO366,199742,t-shirts,WOMAN,Spring,Cotton
REAVI367,199743,jackets,WOMAN,Autumn,Viscose
OVWWO368,199744,jackets,MAN,Winter,Wool Blend
EMAVI369,199745,shoes,WOMAN,Autumn,Viscose
STSWO370,199746,sweaters,WOMAN,Summer,Wool
TEAVI371,199747,jeans,WOMAN,Autumn,Viscose
RESLI372,199748,t-shirts,MAN,Summer,Linen
TESCO373,199749,jackets,WOMAN,Summer,Cotton
UTSVI374,199750,sweaters,MAN,Spring,Viscose
RISLI375,199751,sweaters,WOMAN,Spring,Linen
QUAAC376,199752,t-shirts,WOMAN,Autumn,Acrylic
BASLI377,199753,jackets,WOMAN,Spring,Linen Blend
KNAWO378,199754,jackets,WOMAN,Autumn,Wool Blend
BEAWO379,199755,shoes,WOMAN,Autumn,Wool
TESLI380,199756,jackets,WOMAN,Summer,Linen
BAWPO381,199757,sweaters,MAN,Winter,Polyester
REAPO382,199758,jackets,WOMAN,Autumn,Polyester
SLAWO383,199759,jackets,WOMAN,Autumn,Wool
FAAPO384,199760,jeans,WOMAN,Autumn,Polyester
TESWO385,199761,t-shirts,WOMAN,Spring,Wool
TAWWO386,199762,shoes,MAN,Winter,Wool Blend
BASLI387,199763,shoes,MAN,Summer,Linen
TEADE388,199764,shoes,WOMAN,Autumn,Denim
SLSCO389,199765,jackets,WOMAN,Spring,Cotton
STAWO390,199766,jackets,WOMAN,Autumn,Wool Blend
HIACO391,199767,jackets,MAN,Autumn,Cotton
DOWDE392,199768,jackets,WOMAN,Winter,Denim
RIAWO393,199769,jackets,MAN,Autumn,Wool
PLSCO394,199770,jackets,MAN,Spring,Cotton
POSWO395,199771,jackets,WOMAN,Summer,Wool Blend
LISCO396,199772,jackets,WOMAN,Spring,Cotton
QUWWO397,199773,jackets,WOMAN,Winter,Wool Blend
CRSCO398,199774,jackets,MAN,Summer,Cotton
SAWWO399,199775,jackets,WOMAN,Winter,Wool
POAWO400,199776,sweaters,MAN,Autumn,Wool
TASCO401,199777,jackets,WOMAN,Summer,Cotton
HIAAC402,199778,jackets,WOMAN,Autumn,Acrylic
SAWPO403,199779,sweaters,WOMAN,Winter,Polyester
RISPO404,199780,sweaters,WOMAN,Spring,Polyester
SLWWO405,199781,jackets,WOMAN,Winter,Wool Blend
STSCO406,199782,sweaters,MAN,Spring,Cotton
SLWWO407,199783,shoes,WOMAN,Winter,Wool Blend
QUSLI408,199784,jackets,MAN,Summer,Linen Blend
OVWDE409,199785,shoes,WOMAN,Winter,Denim
BAAWO410,199786,sweaters,WOMAN,Autumn,Wool
TAACO411,199787,jackets,WOMAN,Autumn,Cotton
KNWWO412,199788,sweaters,MAN,Winter,Wool
OVWWO413,199789,jackets,MAN,Winter,Wool
LISLI414,199790,jackets,WOMAN,Spring,Linen
KNAWO415,199791,jackets,WOMAN,Autumn,Wool
HIAWO416,199792,jackets,WOMAN,Autumn,Wool Blend
RIADE417,199793,jackets,MAN,Autumn,Denim
TAAWO418,199794,sweaters,MAN,Autumn,Wool Blend
QUWCO419,199795,jackets,MAN,Winter,Cotton
KNAWO420,199796,jackets,WOMAN,Autumn,Wool Blend
STWWO421,199797,jackets,WOMAN,Winter,Wool
V-WWO422,199798,jackets,WOMAN,Winter,Wool Blend
BAADE423,199799,jackets,MAN,Autumn,Denim
ADAVI424,199800,t-shirts,WOMAN,Autumn,Viscose
TEWWO425,199801,t-shirts,WOMAN,Winter,Wool
SLSVI426,199802,jackets,WOMAN,Spring,Viscose
COSPO427,199803,jackets,WOMAN,Spring,Polyester
STWWO428,199804,jackets,WOMAN,Winter,Wool Blend
POSDE429,199805,shoes,WOMAN,Spring,Denim
QUWWO430,199806,jackets,WOMAN,Winter,Wool Blend
REAVI431,199807,jackets,MAN,Autumn,Viscose
PLWWO432,199808,sweaters,WOMAN,Winter,Wool Blend
LISCO433,199809,jackets,MAN,Spring,Cotton
UTACO434,199810,jackets,WOMAN,Autumn,Cotton
CRAWO435,199811,jackets,WOMAN,Autumn,Wool Blend
SAAPO436,199812,jackets,MAN,Autumn,Polyester
STSPO437,199813,sweaters,WOMAN,Spring,Polyester
RIAVI438,199814,shoes,MAN,Autumn,Viscose
TAWWO439,199815,jackets,MAN,Winter,Wool Blend
SASWO440,199816,sweaters,MAN,Summer,Wool Blend
PLAWO441,199817,jackets,WOMAN,Autumn,Wool Blend
CRAVI442,199818,sweaters,WOMAN,Autumn,Viscose
SAWSA443,199819,jackets,WOMAN,Winter,Satin
RESLI444,199820,jackets,WOMAN,Summer,Linen
SLAPO445,199821,t-shirts,WOMAN,Autumn,Polyester
LISLI446,199822,t-shirts,MAN,Spring,Linen
QUAVI447,199823,sweaters,WOMAN,Autumn,Viscose
READE448,199824,jeans,WOMAN,Autumn,Denim
DOWWO449,199825,jackets,MAN,Winter,Wool
STSPO450,199826,jackets,MAN,Spring,Polyester
HIWWO451,199827,jackets,MAN,Winter,Wool Blend
TASCO452,199828,sweaters,MAN,Summer,Cotton
EMAPO453,199829,sweaters,MAN,Autumn,Polyester
QUACO454,199830,jackets,MAN,Autumn,Cotton
BEAPO455,199831,jackets,WOMAN,Autumn,Polyester
KNAWO456,199832,jackets,MAN,Autumn,Wool
KNAWO457,199833,t-shirts,MAN,Autumn,Wool Blend
STWWO458,199834,jackets,WOMAN,Winter,Wool
TAAWO459,199835,jackets,WOMAN,Autumn,Wool Blend
DOAAC460,199836,t-shirts,MAN,Autumn,Acrylic
SLSLI461,199837,jackets,WOMAN,Summer,Linen
EMSCO462,199838,jackets,MAN,Summer,Cotton
OVSLI463,199839,jackets,WOMAN,Summer,Linen
KNWWO464,199840,jackets,WOMAN,Winter,Wool
DOWWO465,199841,shoes,MAN,Winter,Wool
WOAWO466,199842,sweaters,WOMAN,Autumn,Wool Blend
READE467,199843,shoes,WOMAN,Autumn,Denim
REAWO468,199844,jackets,WOMAN,Autumn,Wool Blend
SLSCO469,199845,jackets,WOMAN,Spring,Cotton
OVSLI470,199846,shoes,WOMAN,Spring,Linen
WAACO471,199847,jackets,MAN,Autumn,Cotton
LISLI472,199848,t-shirts,MAN,Spring,Linen Blend
TEAPO473,199849,jeans,WOMAN,Autumn,Polyester
PLSCO474,199850,sweaters,WOMAN,Spring,Cotton
UTSCO475,199851,jackets,WOMAN,Spring,Cotton
HISLI476,199852,t-shirts,MAN,Summer,Linen
RESLI477,199853,sweaters,WOMAN,Spring,Linen Blend
EMWAC478,199854,shoes,WOMAN,Winter,Acrylic
STSLI479,199855,jackets,MAN,Summer,Linen
OVWWO480,199856,t-shirts,WOMAN,Winter,Wool Blend
DOSCO481,199857,jackets,MAN,Spring,Cotton
OVACO482,199858,sweaters,WOMAN,Autumn,Cotton
QUSCO483,199859,shoes,WOMAN,Spring,Cotton
PLADE484,199860,t-shirts,WOMAN,Autumn,Denim
PLAWO485,199861,jackets,MAN,Autumn,Wool Blend
